year,fips,vote_rep,vote_dem,VotePercCountry,VotePercFips,CountyPartisanship
2004,04009,7467,3185,-2.50601061752369,-40.1990236575291,-37.6930130400054
2004,04011,1899,1146,-2.50601061752369,-24.7290640394089,-22.2230534218852
2004,04012,3158,1849,-2.50601061752369,-26.1433992410625,-23.6373886235388
2004,04013,679455,504849,-2.50601061752369,-14.7433429254651,-12.2373323079414
2004,04015,36794,20503,-2.50601061752369,-28.432553187776,-25.9265425702523
2004,04017,17277,14815,-2.50601061752369,-7.67169388009473,-5.16568326257103
2004,04019,171277,193128,-2.50601061752369,5.99635021473361,8.5023608322573
2004,04021,37006,27252,-2.50601061752369,-15.1794329110772,-12.6734222935535
2004,04023,4668,6909,-2.50601061752369,19.3573464628142,21.8633570803379
2004,04025,53468,33127,-2.50601061752369,-23.4898088804203,-20.9837982628967
2004,04027,22184,16032,-2.50601061752369,-16.0979694368851,-13.5919588193614
